Id,Date,Rented_Bike_Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
0,01/12/2017,5.541263545158426,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
1,01/12/2017,5.3230099791384085,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2,01/12/2017,5.159055299214529,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes
3,01/12/2017,4.68213122712422,3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
4,01/12/2017,4.3694478524670215,4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes
5,01/12/2017,4.61512051684126,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes
6,01/12/2017,5.204006687076795,6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,Winter,No Holiday,Yes
7,01/12/2017,6.133398042996649,7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes
8,01/12/2017,6.836259277277067,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,Winter,No Holiday,Yes
9,01/12/2017,6.19644412779452,9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,Winter,No Holiday,Yes
10,01/12/2017,5.8289456176102075,10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,Winter,No Holiday,Yes
11,01/12/2017,5.8888779583328805,11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,Winter,No Holiday,Yes
12,01/12/2017,6.1092475827643655,12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,Winter,No Holiday,Yes
13,01/12/2017,6.113682179832232,13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,Winter,No Holiday,Yes
14,01/12/2017,6.104793232414985,14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,Winter,No Holiday,Yes
15,01/12/2017,6.139884552226255,15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,Winter,No Holiday,Yes
16,01/12/2017,6.184148890937483,16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,Winter,No Holiday,Yes
17,01/12/2017,6.320768294250582,17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,Winter,No Holiday,Yes
18,01/12/2017,6.760414691083428,18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes
19,01/12/2017,6.398594934535208,19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes
20,01/12/2017,6.056784013228625,20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes
21,01/12/2017,6.0063531596017325,21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes
22,01/12/2017,5.988961416889864,22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,Winter,No Holiday,Yes
23,01/12/2017,5.780743515792329,23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes
24,02/12/2017,5.796057750765372,0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes
25,02/12/2017,5.733341276897746,1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes
26,02/12/2017,5.572154032177765,2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes
27,02/12/2017,5.123963979403259,3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,Winter,No Holiday,Yes
28,02/12/2017,4.499809670330265,4,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes
29,02/12/2017,4.382026634673881,5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes
30,02/12/2017,4.2626798770413155,6,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes
31,02/12/2017,4.990432586778736,7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes
